"home_team","away_team","def_team_q1","def_team_q3","def_team_ot","def_direction_q1","def_direction_q3","def_direction_ot","game_id"
"SEA","GB","SEA","GB",NA,"north","south",NA,"GB_SEA_2014"
"ATL","NO","ATL","NO","ATL","east","west","east","NO_ATL_2014"
"BLT","CIN","BLT","CIN",NA,"west","west",NA,"CIN_BLT_2014"
"CHI","BUF","CHI","BUF","BUF","north","north","north","BUF_CHI_2014"
"HST","WAS","WAS","HST",NA,"north","north",NA,"WAS_HST_2014"
"KC","TEN","TEN","KC",NA,"west","east",NA,"TEN_KC_2014"
"MIA","NE","MIA","NE",NA,"west","east",NA,"NE_MIA_2014"
"NYJ","OAK","OAK","NYJ",NA,"east","east",NA,"OAK_NYJ_2014"
"PHI","JAX","PHI","JAX",NA,"north","south",NA,"JAX_PHI_2014"
"PIT","CLV","CLV","PIT",NA,"south","south",NA,"CLV_PIT_2014"
"SL","MIN","SL","MIN",NA,"north","north",NA,"MIN_SL_2014"
"DAL","SF","SF","DAL",NA,"north","south",NA,"SF_DAL_2014"
"TB","CAR","TB","CAR",NA,"south","south",NA,"CAR_TB_2014"
"DEN","IND","DEN","IND",NA,"south","south",NA,"IND_DEN_2014"
"DET","NYG","NYG","DET",NA,"east","west",NA,"NYG_DET_2014"
"ARZ","SD","SD","ARZ",NA,"south","south",NA,"SD_ARZ_2014"
"BLT","PIT","BLT","PIT",NA,"east","west",NA,"PIT_BLT_2014"
"BUF","MIA","MIA","BUF",NA,"west","west",NA,"MIA_BUF_2014"
"CAR","DET","CAR","DET",NA,"east","west",NA,"DET_CAR_2014"
"CIN","ATL","CIN","ATL",NA,"south","north",NA,"ATL_CIN_2014"
"CLV","NO","CLV","NO",NA,"east","west",NA,"NO_CLV_2014"
"MIN","NE","NE","MIN",NA,"north",NA,NA,"NE_MIN_2014"
"NYG","ARZ","NYG","ARZ",NA,"south","south",NA,"ARZ_NYG_2014"
"TEN","DAL","TEN","DAL",NA,"north","south",NA,"DAL_TEN_2014"
"WAS","JAX","JAX",NA,NA,"east",NA,NA,"JAX_WAS_2014"
"SD","SEA","SD","SEA",NA,"east","east",NA,"SEA_SD_2014"
"TB","SL","SL","TB",NA,"south","south",NA,"SL_TB_2014"
"DEN","KC","KC","DEN",NA,"south","north",NA,"KC_DEN_2014"
"GB","NYJ","NYJ","GB",NA,"north","south",NA,"NYJ_GB_2014"
"OAK","HST","OAK","HST",NA,"south",NA,NA,"HST_OAK_2014"
"SF","CHI","SF","CHI",NA,"north","south",NA,"CHI_SF_2014"
"IND","PHI","PHI","IND",NA,"south","north",NA,"PHI_IND_2014"
"ATL","TB","TB","ATL",NA,"east","east",NA,"TB_ATL_2014"
"BUF","SD","SD","BUF",NA,"west","west",NA,"SD_BUF_2014"
"CIN","TEN","CIN","TEN",NA,"north","north",NA,"TEN_CIN_2014"
"CLV","BAL","CLV","BLT",NA,"east","west",NA,"BAL_CLV_2014"
"DET","GB","GB","DET",NA,"east","west",NA,"GB_DET_2014"
"JAX","IND","JAX","IND",NA,"south","north",NA,"IND_JAX_2014"
"NE","OAK","NE","OAK",NA,"north","south",NA,"OAK_NE_2014"
"NO","MIN","MIN","NO",NA,"south","south",NA,"MIN_NO_2014"
"NYG","HST","HST","NYG",NA,"south","north",NA,"HST_NYG_2014"
"PHI","WAS","PHI","WAS",NA,"north","south",NA,"WAS_PHI_2014"
"SL","DAL","DAL","SL",NA,"north","north",NA,"DAL_SL_2014"
"ARZ","SF","SF","ARZ",NA,"north","north",NA,"SF_ARZ_2014"
"MIA","KC","KC","MIA",NA,"west","west",NA,"KC_MIA_2014"
"SEA","DEN","DEN","SEA","DEN","north","north","south","DEN_SEA_2014"
"CAR","PIT","CAR","PIT",NA,"west","east",NA,"PIT_CAR_2014"
"NYJ","CHI","CHI","NYJ",NA,"east","west",NA,"CHI_NYJ_2014"
"WAS","NYG","WAS","NYG",NA,"east","east",NA,"NYG_WAS_2014"
"BLT","CAR","BLT","CAR",NA,"east","west",NA,"CAR_BLT_2014"
"CHI","GB","GB","CHI",NA,"north","north",NA,"GB_CHI_2014"
"HST","BUF","HST","BUF",NA,"north",NA,NA,"BUF_HST_2014"
"IND","TEN","TEN","IND",NA,"north","south",NA,"TEN_IND_2014"
"NYJ","DET","DET","NYJ",NA,"east",NA,NA,"DET_NYJ_2014"
"OAK","MIA","MIA","OAK",NA,NA,NA,NA,"MIA_OAK_2014"
"PIT","TB","TB","PIT",NA,"north","south",NA,"TB_PIT_2014"
"SD","JAX","SD","JAX",NA,"east","west",NA,"JAX_SD_2014"
"MIN","ATL","MIN","ATL",NA,"west",NA,NA,"ATL_MIN_2014"
"SF","PHI","SF","PHI",NA,"south","north",NA,"PHI_SF_2014"
"DAL","NO","NO","DAL",NA,"south","south",NA,"NO_DAL_2014"
"KC","NE","NE","KC",NA,"west","east",NA,"NE_KC_2014"
"GB","MIN","MIN","GB",NA,"north","south",NA,"MIN_GB_2014"
"CAR","CHI","CHI","CAR",NA,"west","east",NA,"CHI_CAR_2014"
"DAL","HST","DAL","HST","DAL","south","north","south","HST_DAL_2014"
"DET","BUF","DET","BUF",NA,"west","west",NA,"BUF_DET_2014"
"IND","BAL","BLT","IND",NA,"north","north",NA,"BAL_IND_2014"
"JAX","PIT","JAX","PIT",NA,"south","south",NA,"PIT_JAX_2014"
"NO","TB","TB","NO","TB","south","south","south","TB_NO_2014"
"NYG","ATL","ATL","NYG",NA,"north","south",NA,"ATL_NYG_2014"
"PHI","SL","PHI","SL",NA,"north","north",NA,"SL_PHI_2014"
"TEN","CLV","CLV","TEN",NA,"south","south",NA,"CLV_TEN_2014"
"DEN","ARZ","DEN","ARZ",NA,NA,"north",NA,"ARZ_DEN_2014"
"SD","NYJ","SD","NYJ",NA,"east","west",NA,"NYJ_SD_2014"
"SF","KC","SF","KC",NA,"north","south",NA,"KC_SF_2014"
"NE","CIN","CIN","NE",NA,"south","south",NA,"CIN_NE_2014"
"WAS","SEA","WAS","SEA",NA,"east","east",NA,"SEA_WAS_2014"
"HST","IND","IND","HST",NA,"south","north",NA,"IND_HST_2014"
"ATL","CHI","ATL","CHI",NA,"east","west",NA,"CHI_ATL_2014"
"BUF","NE","NE","BUF",NA,"east","east",NA,"NE_BUF_2014"
"CIN","CAR","CIN","CAR","CAR","south","south","south","CAR_CIN_2014"
"CLV","PIT","CLV","PIT",NA,"west","east",NA,"PIT_CLV_2014"
"MIA","GB","MIA","GB",NA,"west",NA,NA,"GB_MIA_2014"
"MIN","DET","MIN","DET",NA,"east",NA,NA,"DET_MIN_2014"
"NYJ","DEN","NYJ","DEN",NA,"east","east",NA,"DEN_NYJ_2014"
"TB","BAL","TB","BLT",NA,"south","south",NA,"BAL_TB_2014"
"TEN","JAX","TEN","JAX",NA,"south","south",NA,"JAX_TEN_2014"
"OAK","SD","SD","OAK",NA,NA,NA,NA,"SD_OAK_2014"
"ARZ","WAS","WAS","ARZ",NA,"north","north",NA,"WAS_ARZ_2014"
"SEA","DAL","DAL","SEA",NA,"south","south",NA,"DAL_SEA_2014"
"PHI","NYG","NYG","PHI",NA,"north","south",NA,"NYG_PHI_2014"
"SL","SF","SF","SL",NA,"north","south",NA,"SF_SL_2014"
"NE","NYJ","NYJ","NE",NA,"north","south",NA,"NYJ_NE_2014"
"BLT","ATL","BLT","ATL",NA,"east","west",NA,"ATL_BLT_2014"
"BUF","MIN","BUF","MIN",NA,"west","east",NA,"MIN_BUF_2014"
"CHI","MIA","CHI","MIA",NA,"south","south",NA,"MIA_CHI_2014"
"DET","NO","NO","DET",NA,"east",NA,NA,"NO_DET_2014"
"GB","CAR","CAR","GB",NA,"north","south",NA,"CAR_GB_2014"
"IND","CIN","CIN","IND",NA,"north","north",NA,"CIN_IND_2014"
"JAX","CLV","JAX","CLV",NA,"south","north",NA,"CLV_JAX_2014"
"SL","SEA","SEA","SL",NA,"north","south",NA,"SEA_SL_2014"
"WAS","TEN","TEN","WAS",NA,"east","west",NA,"TEN_WAS_2014"
"SD","KC","KC","SD",NA,"east","west",NA,"KC_SD_2014"
"DAL","NYG","NYG","DAL",NA,"north","north",NA,"NYG_DAL_2014"
"OAK","ARZ","ARZ","OAK",NA,"south","north",NA,"ARZ_OAK_2014"
"DEN","SF","DEN",NA,NA,NA,NA,NA,"SF_DEN_2014"
"PIT","HST","HST","PIT",NA,"south","south",NA,"HST_PIT_2014"
"DEN","SD","SD","DEN",NA,"south","south",NA,"SD_DEN_2014"
"ATL","DET","DET","ATL",NA,"west",NA,NA,"DET_ATL_2014"
"CAR","SEA","CAR","SEA",NA,"east","west",NA,"SEA_CAR_2014"
"CIN","BAL","BLT","CIN",NA,"south","north",NA,"BAL_CIN_2014"
"JAX","MIA","MIA","JAX",NA,"north","north",NA,"MIA_JAX_2014"
"KC","SL","KC","SL",NA,"east","west",NA,"SL_KC_2014"
"NE","CHI","NE","CHI",NA,"north","north",NA,"CHI_NE_2014"
"NYJ","BUF","BUF","NYJ",NA,"east","west",NA,"BUF_NYJ_2014"
"TB","MIN","MIN","TB","MIN","north","north","north","MIN_TB_2014"
"TEN","HST","TEN","HST",NA,"south","north",NA,"HST_TEN_2014"
"ARZ","PHI","ARZ","PHI",NA,"north","north",NA,"PHI_ARZ_2014"
"CLV","OAK","CLV","OAK",NA,"west","west",NA,"OAK_CLV_2014"
"PIT","IND","PIT","IND",NA,"south","south",NA,"IND_PIT_2014"
"NO","GB","NO","GB",NA,"south","north",NA,"GB_NO_2014"
"DAL","WAS","WAS","DAL","DAL","north","south","north","WAS_DAL_2014"
"CAR","NO","CAR","NO",NA,"east","west",NA,"NO_CAR_2014"
"CIN","JAX","CIN","JAX",NA,"south","north",NA,"JAX_CIN_2014"
"CLV","TB","CLV","TB",NA,"east","east",NA,"TB_CLV_2014"
"DAL","ARZ","DAL","ARZ",NA,"north","north",NA,"ARZ_DAL_2014"
"HST","PHI","HST","PHI",NA,"north","south",NA,"PHI_HST_2014"
"KC","NYJ","NYJ","KC",NA,"west","east",NA,"NYJ_KC_2014"
"MIA","SD","MIA","SD",NA,"west",NA,NA,"SD_MIA_2014"
"MIN","WAS","WAS","MIN",NA,"east",NA,NA,"WAS_MIN_2014"
"SF","SL","SL","SF",NA,"north","north",NA,"SL_SF_2014"
"NE","DEN","NE","DEN",NA,"north","north",NA,"DEN_NE_2014"
"SEA","OAK","SEA","OAK",NA,"south","south",NA,"OAK_SEA_2014"
"PIT","BAL","PIT","BLT",NA,"north","north",NA,"BAL_PIT_2014"
"NYG","IND","IND","NYG",NA,"south","south",NA,"IND_NYG_2014"
"CIN","CLV","CLV","CIN",NA,"north","north",NA,"CLV_CIN_2014"
"BLT","TEN","BLT","TEN",NA,"east","east",NA,"TEN_BLT_2014"
"BUF","KC","BUF","KC",NA,"west","west",NA,"KC_BUF_2014"
"DET","MIA","MIA","DET",NA,"west","east",NA,"MIA_DET_2014"
"JAX","DAL","JAX","DAL",NA,"west",NA,NA,"DAL_JAX_2014"
"NO","SF","SF","NO","SF","south","south","south","SF_NO_2014"
"NYJ","PIT","PIT","NYJ",NA,"east","west",NA,"PIT_NYJ_2014"
"TB","ATL","ATL","TB",NA,"south","north",NA,"ATL_TB_2014"
"OAK","DEN","OAK","DEN",NA,"south","north",NA,"DEN_OAK_2014"
"ARZ","SL","ARZ","SL",NA,"north","south",NA,"SL_ARZ_2014"
"SEA","NYG","SEA","NYG",NA,"north","north",NA,"NYG_SEA_2014"
"GB","CHI","GB","CHI",NA,"north","north",NA,"CHI_GB_2014"
"PHI","CAR","PHI","CAR",NA,"north","south",NA,"CAR_PHI_2014"
"MIA","BUF","BUF","MIA",NA,"east","west",NA,"BUF_MIA_2014"
"CAR","ATL","CAR","ATL",NA,"west","east",NA,"ATL_CAR_2014"
"CHI","MIN","CHI","MIN",NA,"south","south",NA,"MIN_CHI_2014"
"CLV","HST","CLV","HST",NA,"east","east",NA,"HST_CLV_2014"
"GB","PHI","PHI","GB",NA,"north","south",NA,"PHI_GB_2014"
"KC","SEA","KC","SEA",NA,"east","west",NA,"SEA_KC_2014"
"NO","CIN","CIN","NO",NA,"north","south",NA,"CIN_NO_2014"
"NYG","SF","NYG","SF",NA,"north","south",NA,"SF_NYG_2014"
"SL","DEN","DEN","SL",NA,"south","south",NA,"DEN_SL_2014"
"WAS","TB","TB","WAS",NA,"west","west",NA,"TB_WAS_2014"
"SD","OAK","SD","OAK",NA,"east","west",NA,"OAK_SD_2014"
"ARZ","DET","DET","ARZ",NA,"north",NA,NA,"DET_ARZ_2014"
"IND","NE","NE","IND",NA,"north","north",NA,"NE_IND_2014"
"TEN","PIT","TEN","PIT",NA,"north","north",NA,"PIT_TEN_2014"
"OAK","KC","OAK","KC",NA,"south","north",NA,"KC_OAK_2014"
"ATL","CLV","CLV","ATL",NA,"east","east",NA,"CLV_ATL_2014"
"BUF","NYJ","BUF","NYJ",NA,"west","west",NA,"NYJ_BUF_2014"
"CHI","TB","TB","CHI",NA,"north","north",NA,"TB_CHI_2014"
"HST","CIN","HST","CIN",NA,"north","south",NA,"CIN_HST_2014"
"IND","JAX","JAX","IND",NA,"south","north",NA,"JAX_IND_2014"
"MIN","GB","MIN","GB",NA,"west",NA,NA,"GB_MIN_2014"
"NE","DET","NE","DET",NA,"south","north",NA,"DET_NE_2014"
"PHI","TEN","TEN","PHI",NA,"south","north",NA,"TEN_PHI_2014"
"SD","SL","SL","SD",NA,"east","west",NA,"SL_SD_2014"
"SEA","ARZ","SEA","ARZ",NA,"south","north",NA,"ARZ_SEA_2014"
"DEN","MIA","DEN","MIA",NA,"south","north",NA,"MIA_DEN_2014"
"SF","WAS","SF","WAS",NA,"north","north",NA,"WAS_SF_2014"
"NYG","DAL","NYG","DAL",NA,"north","south",NA,"DAL_NYG_2014"
"NO","BAL","BLT","NO",NA,"north","south",NA,"BAL_NO_2014"
"DET","CHI","CHI","DET",NA,"east","east",NA,"CHI_DET_2014"
"DAL","PHI","DAL","PHI",NA,"south","north",NA,"PHI_DAL_2014"
"SF","SEA","SEA","SF",NA,"north","south",NA,"SEA_SF_2014"
"BLT","SD","SD","BLT",NA,"east","east",NA,"SD_BLT_2014"
"BUF","CLV","BUF","CLV",NA,"west","west",NA,"CLV_BUF_2014"
"HST","TEN","TEN","HST",NA,"south","north",NA,"TEN_HST_2014"
"IND","WAS","WAS","IND",NA,"north","north",NA,"WAS_IND_2014"
"JAX","NYG","JAX","NYG",NA,"south","north",NA,"NYG_JAX_2014"
"MIN","CAR","MIN","CAR",NA,"west",NA,NA,"CAR_MIN_2014"
"PIT","NO","NO","PIT",NA,"south","south",NA,"NO_PIT_2014"
"SL","OAK","SL","OAK",NA,"north","north",NA,"OAK_SL_2014"
"TB","CIN","TB","CIN",NA,"south","north",NA,"CIN_TB_2014"
"ATL","ARZ","ARZ","ATL",NA,"west","east",NA,"ARZ_ATL_2014"
"GB","NE","NE","GB",NA,"south","north",NA,"NE_GB_2014"
"KC","DEN","DEN","KC",NA,"east","west",NA,"DEN_KC_2014"
"NYJ","MIA","MIA","NYJ",NA,"west","west",NA,"MIA_NYJ_2014"
"CHI","DAL","CHI","DAL",NA,"north","north",NA,"DAL_CHI_2014"
