"home_team","away_team","def_team_q1","def_team_q3","def_team_ot","def_direction_q1","def_direction_q3","def_direction_ot","file_name","game_id"
"DEN","CAR","CAR","DEN",NA,"south","south",NA,"56901_DEN_Gamebook_2016.pdf","CAR_DEN_2016"
"ATL","TB","TB","ATL",NA,"east","west",NA,"56902_ATL_Gamebook_2016.pdf","TB_ATL_2016"
"BLT","BUF","BUF","BLT",NA,"east","east",NA,"56903_BAL_Gamebook_2016.pdf","BUF_BLT_2016"
"HST","CHI","CHI","HST",NA,"north","south",NA,"56904_HOU_Gamebook_2016.pdf","CHI_HST_2016"
"JAX","GB","GB","JAX",NA,"north","north",NA,"56905_JAC_Gamebook_2016.pdf","GB_JAX_2016"
"KC","SD","SD","KC","SD","west","east","west","56906_KC_Gamebook_2016.pdf","SD_KC_2016"
"NO","OAK","OAK","NO",NA,"north","south",NA,"56907_NO_Gamebook_2016.pdf","OAK_NO_2016"
"NYJ","CIN","NYJ","CIN",NA,"east","east",NA,"56908_NYJ_Gamebook_2016.pdf","CIN_NYJ_2016"
"PHI","CLV","CLV","PHI",NA,"north","south",NA,"56909_PHI_Gamebook_2016.pdf","CLV_PHI_2016"
"TEN","MIN","MIN","TEN",NA,"north","south",NA,"56910_TEN_Gamebook_2016.pdf","MIN_TEN_2016"
"SEA","MIA","MIA","SEA",NA,"north","north",NA,"56911_SEA_Gamebook_2016.pdf","MIA_SEA_2016"
"DAL","NYG","NYG","DAL",NA,"south","north",NA,"56912_DAL_Gamebook_2016.pdf","NYG_DAL_2016"
"IND","DET","DET","IND",NA,"north","south",NA,"56913_IND_Gamebook_2016.pdf","DET_IND_2016"
"ARZ","NE","NE","ARZ",NA,"south","north",NA,"56914_ARI_Gamebook_2016.pdf","NE_ARZ_2016"
"WAS","PIT","PIT","WAS",NA,"west","west",NA,"56915_WAS_Gamebook_2016.pdf","PIT_WAS_2016"
"SF","LA","SF","LA",NA,"north","north",NA,"56916_SF_Gamebook_2016.pdf","LA_SF_2016"
"BUF","NYJ","BUF","NYJ",NA,"east","east",NA,"56917_BUF_Gamebook_2016.pdf","NYJ_BUF_2016"
"CAR","SF","SF","CAR",NA,"east","west",NA,"56918_CAR_Gamebook_2016.pdf","SF_CAR_2016"
"CLV","BAL","BLT","CLV",NA,"west","west",NA,"56919_CLE_Gamebook_2016.pdf","BAL_CLV_2016"
"DET","TEN","DET","TEN",NA,"east","west",NA,"56920_DET_Gamebook_2016.pdf","TEN_DET_2016"
"HST","KC","KC","HST",NA,"south","south",NA,"56921_HOU_Gamebook_2016.pdf","KC_HST_2016"
"NE","MIA","MIA","NE",NA,"north","south",NA,"56922_NE_Gamebook_2016.pdf","MIA_NE_2016"
"NYG","NO","NYG","NO",NA,"south","south",NA,"56923_NYG_Gamebook_2016.pdf","NO_NYG_2016"
"PIT","CIN","CIN","PIT",NA,"north","south",NA,"56924_PIT_Gamebook_2016.pdf","CIN_PIT_2016"
"WAS","DAL","WAS","DAL",NA,"west","west",NA,"56925_WAS_Gamebook_2016.pdf","DAL_WAS_2016"
"ARZ","TB","TB","ARZ",NA,"south","north",NA,"56926_ARI_Gamebook_2016.pdf","TB_ARZ_2016"
"LA","SEA","SEA","LA",NA,"west",NA,NA,"56927_LA_Gamebook_2016.pdf","SEA_LA_2016"
"DEN","IND","IND","DEN",NA,"south","south",NA,"56928_DEN_Gamebook_2016.pdf","IND_DEN_2016"
"OAK","ATL","OAK","ATL",NA,"south","north",NA,"56929_OAK_Gamebook_2016.pdf","ATL_OAK_2016"
"SD","JAX","JAX","SD",NA,"east","west",NA,"56930_SD_Gamebook_2016.pdf","JAX_SD_2016"
"MIN","GB","GB","MIN",NA,"east",NA,NA,"56931_MIN_Gamebook_2016.pdf","GB_MIN_2016"
"CHI","PHI","PHI","CHI",NA,"north","south",NA,"56932_CHI_Gamebook_2016.pdf","PHI_CHI_2016"
"NE","HST","NE","HST",NA,"north","south",NA,"56933_NE_Gamebook_2016.pdf","HST_NE_2016"
"BUF","ARZ","ARZ","BUF",NA,"west","west",NA,"56934_BUF_Gamebook_2016.pdf","ARZ_BUF_2016"
"CAR","MIN","MIN","CAR",NA,"east",NA,NA,"56935_CAR_Gamebook_2016.pdf","MIN_CAR_2016"
"CIN","DEN","CIN","DEN",NA,"south","north",NA,"56936_CIN_Gamebook_2016.pdf","DEN_CIN_2016"
"GB","DET","DET","GB",NA,"north",NA,NA,"56937_GB_Gamebook_2016.pdf","DET_GB_2016"
"JAX","BAL","BLT","JAX",NA,"south","north",NA,"56938_JAC_Gamebook_2016.pdf","BAL_JAX_2016"
"MIA","CLV","CLV","MIA","CLV","west",NA,"east","56939_MIA_Gamebook_2016.pdf","CLV_MIA_2016"
"NYG","WAS","WAS","NYG",NA,"south","north",NA,"56940_NYG_Gamebook_2016.pdf","WAS_NYG_2016"
"TEN","OAK","OAK","TEN",NA,"north","north",NA,"56941_TEN_Gamebook_2016.pdf","OAK_TEN_2016"
"SEA","SF","SF","SEA",NA,"north","north",NA,"56942_SEA_Gamebook_2016.pdf","SF_SEA_2016"
"TB","LA","TB","LA",NA,"south","north",NA,"56943_TB_Gamebook_2016.pdf","LA_TB_2016"
"IND","SD","SD","IND",NA,"south","north",NA,"56944_IND_Gamebook_2016.pdf","SD_IND_2016"
"KC","NYJ","KC","NYJ",NA,"west","east",NA,"56945_KC_Gamebook_2016.pdf","NYJ_KC_2016"
"PHI","PIT","PHI","PIT",NA,"south","north",NA,"56946_PHI_Gamebook_2016.pdf","PIT_PHI_2016"
"DAL","CHI","CHI","DAL",NA,"south","south",NA,"56947_DAL_Gamebook_2016.pdf","CHI_DAL_2016"
"NO","ATL","ATL","NO",NA,"north","south",NA,"56948_NO_Gamebook_2016.pdf","ATL_NO_2016"
"CIN","MIA","MIA","CIN",NA,"south","north",NA,"56949_CIN_Gamebook_2016.pdf","MIA_CIN_2016"
"JAX","IND","JAX","IND",NA,"east",NA,NA,"56950_JAC_Gamebook_2016.pdf","IND_JAX_2016"
"ATL","CAR","ATL","CAR",NA,"east","west",NA,"56951_ATL_Gamebook_2016.pdf","CAR_ATL_2016"
"BLT","OAK","BLT","OAK",NA,"east",NA,NA,"56952_BAL_Gamebook_2016.pdf","OAK_BLT_2016"
"CHI","DET","DET","CHI",NA,"south","south",NA,"56953_CHI_Gamebook_2016.pdf","DET_CHI_2016"
"HST","TEN","TEN","HST",NA,"north","south",NA,"56954_HOU_Gamebook_2016.pdf","TEN_HST_2016"
"NE","BUF","BUF","NE",NA,"north","south",NA,"56955_NE_Gamebook_2016.pdf","BUF_NE_2016"
"NYJ","SEA","SEA","NYJ",NA,"east","east",NA,"56956_NYJ_Gamebook_2016.pdf","SEA_NYJ_2016"
"WAS","CLV","CLV","WAS",NA,"west","east",NA,"56957_WAS_Gamebook_2016.pdf","CLV_WAS_2016"
"TB","DEN","DEN","TB",NA,"south","north",NA,"56958_TB_Gamebook_2016.pdf","DEN_TB_2016"
"ARZ","LA","LA","ARZ",NA,"south","south",NA,"56959_ARI_Gamebook_2016.pdf","LA_ARZ_2016"
"SD","NO","SD","NO",NA,"east","west",NA,"56960_SD_Gamebook_2016.pdf","NO_SD_2016"
"SF","DAL","SF","DAL",NA,"south","south",NA,"56961_SF_Gamebook_2016.pdf","DAL_SF_2016"
"PIT","KC","PIT","KC",NA,"south","north",NA,"56962_PIT_Gamebook_2016.pdf","KC_PIT_2016"
"MIN","NYG","MIN","NYG",NA,"east",NA,NA,"56963_MIN_Gamebook_2016.pdf","NYG_MIN_2016"
"SF","ARZ","SF","ARZ",NA,"north","south",NA,"56964_SF_Gamebook_2016.pdf","ARZ_SF_2016"
"BLT","WAS","WAS","BLT",NA,"west","west",NA,"56965_BAL_Gamebook_2016.pdf","WAS_BLT_2016"
"CLV","NE","NE","CLV",NA,"west","west",NA,"56966_CLE_Gamebook_2016.pdf","NE_CLV_2016"
"DET","PHI","PHI","DET",NA,"west","west",NA,"56967_DET_Gamebook_2016.pdf","PHI_DET_2016"
"IND","CHI","IND","CHI",NA,"north","north",NA,"56968_IND_Gamebook_2016.pdf","CHI_IND_2016"
"MIA","TEN","MIA","TEN",NA,"east","east",NA,"56969_MIA_Gamebook_2016.pdf","TEN_MIA_2016"
"MIN","HST","HST","MIN",NA,"west",NA,NA,"56970_MIN_Gamebook_2016.pdf","HST_MIN_2016"
"PIT","NYJ","PIT","NYJ",NA,"south","north",NA,"56971_PIT_Gamebook_2016.pdf","NYJ_PIT_2016"
"DEN","ATL","DEN","ATL",NA,NA,"south",NA,"56972_DEN_Gamebook_2016.pdf","ATL_DEN_2016"
"DAL","CIN","CIN","DAL",NA,"north","south",NA,"56973_DAL_Gamebook_2016.pdf","CIN_DAL_2016"
"LA","BUF","BUF","LA",NA,"west",NA,NA,"56974_LA_Gamebook_2016.pdf","BUF_LA_2016"
"OAK","SD","SD","OAK",NA,"south","north",NA,"56975_OAK_Gamebook_2016.pdf","SD_OAK_2016"
"GB","NYG","NYG","GB",NA,"north",NA,NA,"56976_GB_Gamebook_2016.pdf","NYG_GB_2016"
"CAR","TB","CAR","TB",NA,"west",NA,NA,"56977_CAR_Gamebook_2016.pdf","TB_CAR_2016"
"SD","DEN","DEN","SD",NA,"west","east",NA,"56978_SD_Gamebook_2016.pdf","DEN_SD_2016"
"BUF","SF","BUF","SF",NA,"west","east",NA,"56979_BUF_Gamebook_2016.pdf","SF_BUF_2016"
"CHI","JAX","JAX","CHI",NA,"south","south",NA,"56980_CHI_Gamebook_2016.pdf","JAX_CHI_2016"
"DET","LA","LA","DET",NA,"west","west",NA,"56981_DET_Gamebook_2016.pdf","LA_DET_2016"
"MIA","PIT","MIA","PIT",NA,"east",NA,NA,"56982_MIA_Gamebook_2016.pdf","PIT_MIA_2016"
"NE","CIN","CIN","NE",NA,"south","south",NA,"56983_NE_Gamebook_2016.pdf","CIN_NE_2016"
"NO","CAR","CAR","NO",NA,"north","south",NA,"56984_NO_Gamebook_2016.pdf","CAR_NO_2016"
"NYG","BAL","NYG","BLT",NA,"north","north",NA,"56985_NYG_Gamebook_2016.pdf","BAL_NYG_2016"
"TEN","CLV","CLV","TEN",NA,"south","south",NA,"56986_TEN_Gamebook_2016.pdf","CLV_TEN_2016"
"WAS","PHI","WAS","PHI",NA,"east","east",NA,"56987_WAS_Gamebook_2016.pdf","PHI_WAS_2016"
"OAK","KC","KC","OAK",NA,"south","south",NA,"56988_OAK_Gamebook_2016.pdf","KC_OAK_2016"
"GB","DAL","GB","DAL",NA,"south",NA,NA,"56989_GB_Gamebook_2016.pdf","DAL_GB_2016"
"SEA","ATL","ATL","SEA",NA,"north","north",NA,"56990_SEA_Gamebook_2016.pdf","ATL_SEA_2016"
"HST","IND","IND","HST","HST","south","south","north","56991_HOU_Gamebook_2016.pdf","IND_HST_2016"
"ARZ","NYJ","NYJ","ARZ",NA,"north","north",NA,"56992_ARI_Gamebook_2016.pdf","NYJ_ARZ_2016"
"GB","CHI","GB","CHI",NA,"south",NA,NA,"56993_GB_Gamebook_2016.pdf","CHI_GB_2016"
"LA","NYG","LA","NYG",NA,"south",NA,NA,"56994_LA_Gamebook_2016.pdf","NYG_LA_2016"
"CIN","CLV","CLV","CIN",NA,"south","north",NA,"56995_CIN_Gamebook_2016.pdf","CLV_CIN_2016"
"DET","WAS","WAS","DET",NA,"west","east",NA,"56996_DET_Gamebook_2016.pdf","WAS_DET_2016"
"JAX","OAK","JAX","OAK",NA,"south","north",NA,"56997_JAC_Gamebook_2016.pdf","OAK_JAX_2016"
"KC","NO","NO","KC",NA,"west","east",NA,"56998_KC_Gamebook_2016.pdf","NO_KC_2016"
"MIA","BUF","BUF","MIA",NA,"east",NA,NA,"56999_MIA_Gamebook_2016.pdf","BUF_MIA_2016"
"NYJ","BAL","NYJ","BLT",NA,"east","west",NA,"57000_NYJ_Gamebook_2016.pdf","BAL_NYJ_2016"
"PHI","MIN","MIN","PHI",NA,"north","south",NA,"57001_PHI_Gamebook_2016.pdf","MIN_PHI_2016"
"TEN","IND","IND","TEN",NA,"south","south",NA,"57002_TEN_Gamebook_2016.pdf","IND_TEN_2016"
"ATL","SD","ATL","SD","SD","west","east","east","57003_ATL_Gamebook_2016.pdf","SD_ATL_2016"
"SF","TB","TB","SF",NA,"north","north",NA,"57004_SF_Gamebook_2016.pdf","TB_SF_2016"
"PIT","NE","NE","PIT",NA,"south","south",NA,"57005_PIT_Gamebook_2016.pdf","NE_PIT_2016"
"ARZ","SEA","SEA","ARZ","SEA","south","north","north","57006_ARI_Gamebook_2016.pdf","SEA_ARZ_2016"
"DEN","HST","DEN","HST",NA,NA,"south",NA,"57007_DEN_Gamebook_2016.pdf","HST_DEN_2016"
"TEN","JAX","JAX","TEN",NA,"north","north",NA,"57008_TEN_Gamebook_2016.pdf","JAX_TEN_2016"
"CIN","WAS","CIN","WAS","CIN","east",NA,"north","57009_CIN_Gamebook_2016.pdf","WAS_CIN_2016"
"ATL","GB","GB","ATL",NA,"east","east",NA,"57010_ATL_Gamebook_2016.pdf","GB_ATL_2016"
"BUF","NE","NE","BUF",NA,"west","west",NA,"57011_BUF_Gamebook_2016.pdf","NE_BUF_2016"
