,home_team,away_team,season.x,def_team_q1,def_team_q3,def_direction_q1,def_direction_q3,game_id.x,home_team_off_direction1,home_team_off_direction3,home_team_off_direction2,home_team_off_direction4,away_team_off_direction1,away_team_off_direction3,away_team_off_direction2,away_team_off_direction4,game_id.y,game_type,week,gameday,weekday,gametime,away_score,home_score,location,roof,surface,stadium.y,n,ws,wd,HomeTeam,RoofType,Longitude,Latitude,StadiumAzimuthAngle,wind_compass
1,CLE,JAX,2017,JAX,CLE,east,west,JAX_CLI_2017,east,east,west,west,west,west,east,east,2017_11_JAX_CLE,REG,11,11/19/17,Sunday,13:00,19,7,Home,outdoors,grass,FirstEnergy Stadium,7,26.35285714,282.8339058,CLE,Outdoor,-81.699444,41.506111,56.1,E
2,BUF,PHI,2019,PHI,BUF,west,east,PHI_BUF_2019,west,west,east,east,east,east,west,west,2019_08_PHI_BUF,REG,8,10/27/19,Sunday,13:00,31,13,Home,outdoors,astroturf,New Era Field,7,26.19428571,241.4303473,BUF,Outdoor,-78.787,42.774,302.1,E
3,CLE,PIT,2016,PIT,CLE,east,west,PIT_CLI_2016,east,east,west,west,west,west,east,east,2016_11_PIT_CLE,REG,11,11/20/16,Sunday,13:00,24,9,Home,outdoors,grass,FirstEnergy Stadium,7,24.65,294.2776627,CLE,Outdoor,-81.699444,41.506111,56.1,E
4,DEN,JAX,2019,JAX,DEN,south,,JAX_DEN_2019,south,NA,north,NA,north,NA,south,NA,2019_04_JAX_DEN,REG,4,9/29/19,Sunday,16:25,26,24,Home,outdoors,grass,Empower Field at Mile High,6,23.6,208.6675513,DEN,Outdoor,-105.02,39.743889,0,S
5,BUF,DEN,2019,BUF,DEN,west,east,DEN_BUF_2019,east,east,west,west,west,west,east,east,2019_12_DEN_BUF,REG,12,11/24/19,Sunday,13:00,3,20,Home,outdoors,astroturf,New Era Field,6,20.54666667,246.6875187,BUF,Outdoor,-78.787,42.774,302.1,E
6,SF,CAR,2019,CAR,SF,south,south,CAR_SF_2019,south,north,north,south,north,south,south,north,2019_08_CAR_SF,REG,8,10/27/19,Sunday,16:05,13,51,Home,outdoors,grass,Levi's Stadium,12,20.28833333,4.175205666,SF,Outdoor,-121.97,37.403,330,N
7,NYG,KC,2017,NYG,KC,south,,KC_NYG_2017,north,NA,south,NA,south,NA,north,NA,2017_11_KC_NYG,REG,11,11/19/17,Sunday,13:00,9,12,Home,outdoors,fieldturf,MetLife Stadium,7,19.91142857,312.8651627,NYG/NYJ,Outdoor,-74.074361,40.813528,345.5,E
8,TEN,DEN,2016,TEN,DEN,south,north,DEN_TEN_2016,north,north,south,south,south,south,north,north,2016_14_DEN_TEN,REG,14,12/11/16,Sunday,13:00,10,13,Home,outdoors,grass,Nissan Stadium,7,19.91142857,180,TEN,Outdoor,-86.771389,36.166389,334.6,S
9,GB,ARI,2018,ARI,GB,south,,ARZ_GB_2018,south,NA,north,NA,north,NA,south,NA,2018_13_ARI_GB,REG,13,12/2/18,Sunday,13:00,20,17,Home,outdoors,grass,Lambeau Field,7,19.46857143,12.86516274,GB,Outdoor,-88.062222,44.501389,0,N
10,CHI,NYJ,2018,CHI,NYJ,south,north,NYJ_CHI_2018,north,north,south,south,south,south,north,north,2018_08_NYJ_CHI,REG,8,10/28/18,Sunday,13:00,10,24,Home,outdoors,grass,Soldier Field,7,19.39428571,291.4491414,CHI,Outdoor,-87.6167,41.8623,353.9,E
