"","home_team","away_team","def_team_q1","def_team_q3","def_direction_q1","def_direction_q3","game_id"
"1","CHI","GB","CHI","GB","south","south","GB_CHI_2019"
"2","CAR","LA","LA","CAR","east","west","LA_CAR_2019"
"3","CLI","TEN","TEN","CLV","east","","TEN_CLI_2019"
"4","JAX","KC","JAX","KC","north","","KC_JAX_2019"
"5","BLT","MIA","MIA","BLT","east","west","MIA_BLT_2019"
"6","MIN","ATL","MIN","ATL","west","","ATL_MIN_2019"
"7","NYJ","BUF","NYJ","BUF","south","north","BUF_NYJ_2019"
"8","PHI","WAS","PHI","WAS","north","south","WAS_PHI_2019"
"9","LAC","IND","IND","LAC","south","north","IND_LAC_2019"
"10","SEA","CIN","SEA","CIN","north","south","CIN_SEA_2019"
"11","ARZ","DET","ARZ","DET","north","north","DET_ARZ_2019"
"12","DAL","NYG","NYG","DAL","west","","NYG_DAL_2019"
"13","TB","SF","SF","TB","south","north","SF_TB_2019"
"14","NE","PIT","PIT","NE","south","south","PIT_NE_2019"
"15","NO","HST","NO","HST","south","north","HST_NO_2019"
"16","CAR","TB","CAR","TB","west","east","TB_CAR_2019"
"17","MIA","ARZ","BLT","ARZ","east","west","ARZ_MIA_2019"
"18","CIN","SF","SF","CIN","south","","SF_CIN_2019"
"19","DET","LAC","DET","LAC","west","east","LAC_DET_2019"
"20","GB","MIN","MIN","GB","north","","MIN_GB_2019"
"21","HST","JAX","HST","JAX","south","north","JAX_HST_2019"
"22","BLT","NE","NE","MIA","west","","NE_BLT_2019"
"23","NYG","BUF","BUF","NYG","south","north","BUF_NYG_2019"
"24","PIT","SEA","SEA","PIT","north","north","SEA_PIT_2019"
"25","TEN","IND","IND","TEN","south","south","IND_TEN_2019"
"26","WAS","DAL","DAL","WAS","east","west","DAL_WAS_2019"
"27","DEN","CHI","CHI","DEN","south","","CHI_DEN_2019"
"28","LA","NO","LA","NO","east","","NO_LA_2019"
"29","ATL","PHI","PHI","ATL","east","west","PHI_ATL_2019"
"30","NYJ","CLI","NYJ","CLV","north","","CLI_NYJ_2019"
"31","JAX","TEN","TEN","JAX","north","","TEN_JAX_2019"
"32","BUF","CIN","CIN","BUF","west","east","CIN_BUF_2019"
"33","DAL","BLT","DAL","MIA","west","east","BLT_DAL_2019"
"34","GB","DEN","DEN","GB","north","","DEN_GB_2019"
"35","IND","ATL","ATL","IND","north","north","ATL_IND_2019"
"36","KC","MIA","BLT","KC","east","east","MIA_KC_2019"
"37","MIN","OAK","OAK","MIN","west","","OAK_MIN_2019"
"38","NE","NYJ","NE","NYJ","south","north","NYJ_NE_2019"
"39","PHI","DET","DET","PHI","north","south","DET_PHI_2019"
"40","ARZ","CAR","ARZ","CAR","north","north","CAR_ARZ_2019"
"41","TB","NYG","NYG","TB","south","south","NYG_TB_2019"
"42","LAC","HST","HST","LAC","north","south","HST_LAC_2019"
"43","SEA","NO","NO","SEA","south","north","NO_SEA_2019"
"44","SF","PIT","PIT","SF","south","south","PIT_SF_2019"
"45","CLI","LA","LA","CLV","east","west","LA_CLI_2019"
"46","WAS","CHI","WAS","CHI","east","west","CHI_WAS_2019"
"47","GB","PHI","GB","PHI","north","","PHI_GB_2019"
"48","ATL","TEN","ATL","TEN","east","west","TEN_ATL_2019"
"49","MIA","CLI","BLT","CLV","east","east","CLI_MIA_2019"
"50","BUF","NE","BUF","NE","east","east","NE_BUF_2019"
"51","DET","KC","KC","DET","west","west","KC_DET_2019"
"52","HST","CAR","HST","CAR","south","north","CAR_HST_2019"
"53","IND","OAK","IND","OAK","north","north","OAK_IND_2019"
"54","BLT","LAC","MIA","LAC","east","","LAC_BLT_2019"
"55","NYG","WAS","NYG","WAS","south","south","WAS_NYG_2019"
"56","ARZ","SEA","SEA","ARZ","north","north","SEA_ARZ_2019"
"57","LA","TB","LA","TB","east","west","TB_LA_2019"
"58","CHI","MIN","MIN","CHI","north","","MIN_CHI_2019"
"59","DEN","JAX","JAX","DEN","south","","JAX_DEN_2019"
"60","NO","DAL","NO","DAL","south","north","DAL_NO_2019"
"61","PIT","CIN","PIT","CIN","north","north","CIN_PIT_2019"
"62","SEA","LA","LA","SEA","south","south","LA_SEA_2019"
"63","CAR","JAX","JAX","CAR","east","west","JAX_CAR_2019"
"64","CIN","ARZ","CIN","ARZ","south","","ARZ_CIN_2019"
"65","HST","ATL","HST","ATL","south","south","ATL_HST_2019"
"66","NO","TB","NO","TB","south","south","TB_NO_2019"
"67","NYG","MIN","NYG","MIN","south","north","MIN_NYG_2019"
"68","PHI","NYJ","PHI","NYJ","south","south","NYJ_PHI_2019"
"69","PIT","MIA","BLT","PIT","north","north","MIA_PIT_2019"
"70","TEN","BUF","BUF","TEN","north","north","BUF_TEN_2019"
"71","WAS","NE","NE","WAS","east","east","NE_WAS_2019"
"72","LAC","DEN","LAC","DEN","north","south","DEN_LAC_2019"
"73","DAL","GB","DAL","GB","east","west","GB_DAL_2019"
"74","KC","IND","IND","KC","east","west","IND_KC_2019"
"75","SF","CLI","SF","CLV","north","north","CLI_SF_2019"
"76","NE","NYG","NYG","NE","south","south","NYG_NE_2019"
"77","TB","CAR","CAR","TB","north","","CAR_TB_2019"
"78","MIA","CIN","BLT","CIN","west","west","CIN_MIA_2019"
"79","CLI","SEA","SEA","CLV","west","west","SEA_CLI_2019"
"80","JAX","NO","JAX","NO","north","","NO_JAX_2019"
"81","KC","HST","HST","KC","west","east","HST_KC_2019"
"82","BLT","WAS","MIA","WAS","east","","WAS_BLT_2019"
"83","MIN","PHI","PHI","MIN","east","","PHI_MIN_2019"
"84","ARZ","ATL","ARZ","ATL","north","north","ATL_ARZ_2019"
"85","LA","SF","LA","SF","east","west","SF_LA_2019"
"86","DEN","TEN","DEN","TEN","south","","TEN_DEN_2019"
"87","NYJ","DAL","DAL","NYJ","north","","DAL_NYJ_2019"
"88","LAC","PIT","PIT","LAC","north","north","PIT_LAC_2019"
"89","GB","DET","GB","DET","north","","DET_GB_2019"
"90","DEN","KC","KC","DEN","north","","KC_DEN_2019"
"91","ATL","LA","LA","ATL","west","east","LA_ATL_2019"
"92","BUF","BLT","MIA","BUF","east","west","BLT_BUF_2019"
"93","CIN","JAX","CIN","JAX","south","","JAX_CIN_2019"
"94","DET","MIN","MIN","DET","east","east","MIN_DET_2019"
